date,temperature,humidity,luminosity
18:36.2,22.7,28.9,89
18:38.5,22.7,29.1,89
18:40.8,22.7,29,89
18:43.0,22.7,28.8,89
18:45.3,22.7,28.5,89
18:47.6,22.7,28.4,90
18:49.9,22.7,28.3,89
18:52.2,22.7,28.1,89
18:54.4,22.7,28,89
18:56.7,22.7,27.9,89
18:59.0,22.7,27.9,90
19:01.3,22.7,27.8,89
19:03.5,22.7,27.8,89
19:05.8,22.7,28.3,89
19:08.1,22.7,28.3,90
19:10.4,22.7,28.3,89
19:12.6,22.7,28.1,90
19:14.9,22.7,28.5,89
19:17.2,22.7,28.5,88
19:19.5,22.7,28.5,89
19:21.7,22.7,28.3,89
19:24.0,22.7,28.2,90
19:26.3,22.7,28.3,90
19:28.6,22.7,28.3,90
19:30.8,22.7,28.1,89
19:33.1,22.7,28,88
19:35.4,22.7,27.9,88
19:37.7,22.7,27.8,89
19:40.0,22.7,27.7,90
19:42.2,22.7,27.7,88
19:44.5,22.7,27.7,88
19:46.8,22.7,27.7,90
19:49.1,22.7,27.6,90
19:51.3,22.7,27.6,91
19:53.6,22.7,27.7,94
19:55.9,22.7,27.9,91
19:58.2,22.7,27.9,90
20:00.4,22.7,27.9,86
20:02.7,22.7,27.8,86
20:05.0,22.7,27.9,88
20:07.3,22.7,28.2,88
20:09.5,22.7,28.2,87
20:11.8,22.7,28.1,91
20:14.1,22.7,28,90
20:16.4,22.8,27.9,90
20:18.7,22.7,27.8,91
20:20.9,22.7,27.7,88
20:23.2,22.7,27.7,87
20:25.5,22.8,27.6,88
20:27.8,22.7,27.5,86
20:30.0,22.8,27.5,86
20:32.3,22.8,27.5,87
20:34.6,22.8,27.5,89
20:36.9,22.7,27.5,87
20:39.1,22.8,27.5,87
20:41.4,22.8,27.5,86
20:43.7,22.7,27.5,86
20:46.0,22.8,27.5,88
20:48.2,22.8,27.5,88
20:50.5,22.8,27.5,90
20:52.8,22.8,27.6,88
20:55.1,22.8,27.6,89
20:57.3,22.8,27.5,91
20:59.6,22.8,27.9,91
21:01.9,22.8,28.4,92
21:04.2,22.8,28.5,92
21:06.5,22.8,28.5,91
21:08.7,22.8,28.6,92
21:11.0,22.8,28.5,91
21:13.3,22.8,28.4,91
21:15.6,22.8,28.2,85
21:17.8,22.8,28.1,85
21:20.1,22.8,28,86
21:22.4,22.8,27.9,87
21:24.7,22.8,27.9,87
21:26.9,22.8,27.8,85
21:29.2,22.8,27.8,86
21:31.5,22.8,27.7,85
21:33.8,22.8,27.7,84
21:36.0,22.8,27.7,86
21:38.3,22.8,27.6,86
21:40.6,22.8,27.6,85
21:42.9,22.9,27.7,83
21:45.1,22.8,27.5,89
21:47.4,22.8,27.5,88
21:49.7,22.8,27.5,89
21:52.0,22.8,27.7,91
21:54.3,22.8,28,91
21:56.5,22.8,28.1,91
21:58.8,22.8,28,92
22:01.1,22.8,27.9,92
22:03.4,22.8,27.9,89
22:05.6,22.8,27.9,91
22:07.9,22.8,27.9,91
22:10.2,22.9,27.9,91
22:12.5,22.8,27.7,91
22:14.7,22.9,27.8,91
22:17.0,22.9,27.8,92
22:19.3,22.9,27.7,92
22:21.6,22.9,27.7,91
22:23.8,22.9,27.7,92
22:26.1,22.9,27.7,90
22:28.4,22.9,27.7,89
22:30.7,22.9,27.7,92
22:32.9,22.9,27.7,92
22:35.2,22.9,27.6,91
22:37.5,22.9,27.6,92
22:39.8,22.8,27.5,92
22:42.1,22.9,27.5,89
22:44.3,22.8,27.5,88
22:46.6,22.8,27.5,88
22:48.9,22.9,27.6,88
22:51.2,22.9,27.6,88
22:53.4,22.9,27.7,88
22:55.7,22.9,27.7,88
22:58.0,22.9,27.7,88
23:00.3,22.9,27.7,88
23:02.5,22.9,27.7,91
23:04.8,22.9,27.7,92
23:07.1,22.9,27.9,92
23:09.4,22.9,27.9,92
23:11.6,22.9,28,96
23:13.9,22.9,28,96
23:16.2,22.9,27.9,96
23:18.5,22.9,27.9,96
23:20.8,22.9,27.8,97
23:23.0,22.9,27.8,96
23:25.3,22.9,27.7,95
23:27.6,22.8,27.6,92
23:29.9,22.9,27.7,92
23:32.1,22.9,27.7,92
23:34.4,22.9,27.7,94
23:36.7,22.9,27.7,94
23:39.0,22.9,27.7,94
23:41.2,22.9,27.7,94
23:43.5,22.9,27.7,94
23:45.8,22.9,27.6,94
23:48.1,22.9,27.6,94
23:50.3,22.9,27.6,93
23:52.6,22.9,27.6,93
